,MAE,MAPE,RMSE,Time(sec)
HT_Reg,5495.883,30.874,17380.819,7.265
HAT_Reg,4802.677,36.171,13945.722,21.234
ARF_Reg,4599.165,41.651,14150.65,163.506
PA_Reg,40040.947,136.261,130604.297,0.005
