,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
RandomForest,2.184,2.671,8.783,1.658,0.445,0.586,0.863,0.387,2.197
GradientBoosting,1.699,3.161,5.518,1.351,0.508,0.605,0.741,0.09,1.709
LinearSVR,352.844,10.045,1.279,0.582,0.48,0.709,0.907,0.794,45.955
DecisionTree,1.848,3.234,4.921,2.078,0.534,0.643,0.818,0.167,1.78
BayesianRidge,2.343,3.522,10.859,3.123,0.353,0.425,0.858,0.762,2.781
LSTM,3.953,3.631,5.047,0.617,0.784,0.85,0.91,0.661,2.057
