,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
RandomForest,0.46,0.152,0.371,0.328,0.227,0.393,0.527,0.37,0.353
GradientBoosting,0.439,0.052,0.175,0.188,0.084,0.336,0.447,0.329,0.256
LinearSVR,24.177,80.347,23.297,47.419,0.457,0.43,0.841,0.403,22.172
DecisionTree,0.425,0.051,0.196,0.343,0.071,0.33,0.345,0.717,0.31
BayesianRidge,24.786,51.288,0.754,0.103,0.076,0.425,0.567,0.277,9.784
LSTM,0.91,0.622,0.598,0.389,0.182,0.572,0.76,0.723,0.594
