,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAE,MAE,MAE,MAE,MAE,MAE,MAE,MAE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
RandomForest,4093.543,2042.897,28342.025,8530.576,5149.964,7393.098,64159.731,87932.325,25955.52
GradientBoosting,3867.215,1590.215,25233.845,6842.98,5649.1,7508.353,59649.965,48679.212,19877.611
LinearSVR,1006480.785,2886240.906,153275.689,71920.223,54311.707,62839.832,84444.626,154759.666,559284.179
DecisionTree,4560.88,1845.367,25486.72,6927.423,8471.413,7452.797,60802.387,44818.357,20045.668
BayesianRidge,99068.637,1676.672,26921.287,10656.728,4885.341,31479.673,51158.072,103067.513,41114.24
LSTM,19728.965,8402.582,34098.856,36790.152,12434.782,25501.646,78951.3,127742.18,42956.308
