,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
RandomForest,1.733,3.829,4.74,1.823,0.49,0.538,0.951,0.857,1.87
GradientBoosting,1.494,3.339,2.097,1.509,0.396,0.527,0.888,0.711,1.37
LinearSVR,232.553,606.553,5.788,1.665,0.683,0.717,1.031,0.248,106.155
DecisionTree,1.485,1.138,0.167,6.046,0.499,0.51,0.899,0.95,1.462
BayesianRidge,6.306,4.913,10.188,7.489,0.728,0.401,0.921,0.204,3.894
LSTM,1.114,4.025,6.476,1.001,0.567,0.698,0.942,0.933,1.969
