,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
HT_Reg,212870.984,194878.492,93169.738,2209.424,171.533,5264.007,9555.229,11182.896,66162.788
HAT_Reg,211067.765,134850.971,91050.611,1063.507,182.283,5285.251,9503.949,11183.041,58023.422
ARF_Reg,107063.685,441692.85,89134.509,890.814,100.551,5118.168,11249.292,11546.567,83349.554
PA_Reg,301024.766,1080081.736,1576512.428,116001.716,75001.304,39017.68,139459.615,88101.631,426900.109
