,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
HT_Reg,2.378,5.24,1.731,0.471,1.586,2.256,1.236,0.683,1.948
HAT_Reg,1.662,5.329,1.702,0.468,1.586,2.256,1.236,0.683,1.865
ARF_Reg,3.259,1.589,9.659,3.639,1.642,0.603,0.068,0.011,2.559
PA_Reg,3.328,2.755,76.77,36.375,13.074,3.513,1.757,0.79,17.295
