,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAE,MAE,MAE,MAE,MAE,MAE,MAE,MAE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
RandomForest,6.204,4.815,3.61,5.218,2.68,0.812,0.832,1.789,3.245
GradientBoosting,5.64,4.083,3.996,8.638,3.396,1.619,1.059,2.223,3.832
LinearSVR,95.383,57.558,3.546,1.104,0.574,0.467,1.401,2.219,20.282
DecisionTree,6.34,2.11,2.66,8.887,3.717,4.737,2.153,3.014,4.202
BayesianRidge,73.139,3.302,5.972,3.099,2.166,1.016,0.618,1.533,11.356
LSTM,3.963,2.074,0.678,0.742,0.377,1.163,1.267,2.591,1.607
