,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAE,MAE,MAE,MAE,MAE,MAE,MAE,MAE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
RandomForest,55.504,37.568,80.351,29.453,42.142,75.59,387.641,210.48,114.841
GradientBoosting,43.061,44.096,49.118,25.74,48.83,78.691,346.38,44.265,85.023
LinearSVR,8526.125,135.395,11.952,18.062,43.096,89.404,405.63,437.588,1208.406
DecisionTree,47.327,46.03,45.063,50.999,49.067,82.897,380.51,84.986,98.36
BayesianRidge,58.682,49.56,99.932,69.45,25.778,56.076,389.594,406.122,144.399
LSTM,104.939,50.893,41.156,20.962,68.473,108.729,414.629,336.298,143.26
