,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
HT_Reg,2.837,6.482,5.825,2.212,0.351,0.634,0.661,0.504,2.438
HAT_Reg,4.409,6.82,5.823,2.211,0.351,0.634,0.661,0.504,2.677
ARF_Reg,3.613,20.576,4.103,1.268,0.258,0.536,0.662,0.506,3.94
PA_Reg,8.997,95.764,49.106,6.279,1.441,0.476,0.774,0.488,20.416
