,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
HT_Reg,69.271,85.636,1.353,0.348,0.711,0.771,0.463,0.678,19.904
HAT_Reg,26.755,81.855,1.397,0.345,0.711,0.771,0.463,0.678,14.122
ARF_Reg,16.775,182.324,6.359,0.321,0.644,0.785,0.361,1.946,26.189
PA_Reg,213.22,897.989,84.952,21.126,5.615,7.621,7.417,17.102,156.88
