,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
HT_Reg,12079.926,2072.786,743.506,2189.7,690.097,669.975,1679.146,2450.544,2821.96
HAT_Reg,11814.211,1986.245,6920.256,1452.399,576.387,658.856,1679.081,2452.666,3442.513
ARF_Reg,14548.122,39379.074,11235.488,9150.295,10007.774,580.922,1361.99,2441.494,11088.145
PA_Reg,20027.461,10195.795,24040.668,78429.868,37405.92,97596.542,48283.755,80082.292,49507.788
