,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
RandomForest,0.538,0.804,0.449,0.297,0.111,0.114,0.285,0.65,0.406
GradientBoosting,0.567,0.801,0.44,0.26,0.042,0.145,0.117,0.28,0.332
LinearSVR,1.92,0.904,0.328,1.215,9.0,3.353,1.769,2.731,2.653
DecisionTree,0.53,0.787,0.498,0.254,0.05,0.112,0.115,0.273,0.327
BayesianRidge,1.569,0.74,0.29,2.15,6.555,0.448,0.243,0.207,1.525
LSTM,0.639,0.928,0.941,0.759,0.64,0.239,0.345,0.631,0.64
