,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAE,MAE,MAE,MAE,MAE,MAE,MAE,MAE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
HT_Reg,1.986,4.033,2.027,17.36,3.042,9.32,2.202,3.248,5.402
HAT_Reg,3.69,5.058,2.019,17.363,3.042,9.32,2.202,3.248,5.743
ARF_Reg,3.802,4.793,1.536,17.259,9.293,5.829,5.469,0.67,6.081
PA_Reg,44.456,9.218,10.834,16.005,29.177,39.159,10.017,2.129,20.125
