,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
RandomForest,0.273,0.442,0.714,0.483,0.927,0.896,0.412,0.526,0.584
GradientBoosting,0.255,0.399,0.618,0.456,0.876,0.388,0.289,0.18,0.433
LinearSVR,5.201,10.165,1.005,1.271,2.7,1.773,0.492,0.55,2.894
DecisionTree,0.253,0.362,0.551,0.532,0.792,0.179,0.5,0.249,0.427
BayesianRidge,0.633,0.764,0.902,0.538,1.818,4.102,0.513,0.565,1.23
LSTM,0.589,0.341,0.763,0.803,0.886,1.233,0.595,0.8,0.751
