,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
RandomForest,49.408,56.445,366.184,262.73,250.363,150.474,374.336,558.753,258.586
GradientBoosting,45.91,51.396,319.861,254.748,235.387,69.337,292.938,202.525,184.013
LinearSVR,1128.386,1407.272,562.35,654.197,704.091,312.343,435.484,582.195,723.29
DecisionTree,44.57,47.129,292.234,312.175,214.347,37.158,479.263,371.302,224.772
BayesianRidge,130.721,98.781,482.639,270.674,533.223,711.273,474.788,597.446,412.443
LSTM,112.829,51.594,425.487,437.593,237.786,218.239,567.217,846.411,362.144
