,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
RandomForest,0.506,0.4,0.078,0.381,0.253,0.204,0.897,1.8,0.565
GradientBoosting,0.498,0.367,0.065,0.273,0.239,0.2,0.518,2.511,0.584
LinearSVR,0.874,0.907,1.63,6.733,2.321,1.246,4.98,5.026,2.965
DecisionTree,0.51,0.504,0.086,0.309,0.292,0.298,0.721,2.328,0.631
BayesianRidge,0.594,0.914,1.409,3.387,0.789,0.323,1.319,2.017,1.344
LSTM,0.817,0.846,0.793,0.566,0.619,0.686,0.781,1.16,0.784
