,0,1,2,3,4,5,6,7,mean
EvaluationMeasurement,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,
PretrainDays,30.0,60.0,90.0,120.0,150.0,180.0,210.0,240.0,135.0
RandomForest,0.461,0.313,0.214,0.122,0.255,0.451,0.093,0.219,0.266
GradientBoosting,0.44,0.241,0.117,0.239,0.093,0.223,0.148,0.191,0.211
LinearSVR,8.115,1.098,4.035,3.779,2.549,8.295,1.759,1.441,3.884
DecisionTree,0.426,0.236,0.113,0.226,0.124,0.258,0.239,0.209,0.229
BayesianRidge,14.773,0.471,0.6,0.364,0.494,1.142,0.408,0.632,2.361
LSTM,0.86,0.64,0.561,0.519,0.393,0.541,0.24,0.467,0.528
