,MAE,MAPE,RMSE,Time(sec)
HT_Reg,13548.34,18.467,19412.316,0.115
HAT_Reg,11502.321,17.802,15653.924,0.146
ARF_Reg,17336.117,28.084,23923.305,2.909
PA_Reg,91809.182,43.646,111570.093,0.002
