,0,1,mean
EvaluationMeasurement,RMSE,RMSE,
PretrainDays,30.0,240.0,135.0
HT_Reg,7352964.382,82623.5,3717793.941
HAT_Reg,7329569.336,82600.66,3706084.998
ARF_Reg,4964464.1,75721.838,2520092.969
PA_Reg,2667447.727,557055.942,1612251.835
