,MAE,MAPE,RMSE,Time(sec)
HT_Reg,174821.054,6.181,240473.265,0.51
HAT_Reg,186204.046,6.544,253862.852,0.494
ARF_Reg,46407.314,1.202,55214.206,8.49
PA_Reg,1503525.121,41.976,1809587.917,0.003
