,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.173,0.142,3.591,0.011
1,60,0.215,0.463,9.004,0.005
2,90,1.13,0.498,6.815,0.002
3,120,0.469,0.637,8.883,0.005
4,150,0.668,0.626,13.475,0.003
5,180,0.612,0.699,13.641,0.003
6,210,1.244,1.194,16.438,0.003
7,240,1.161,1.089,16.952,0.003
