,date,Country,Milestone,y_true,pred_RandomForest,pred_GradientBoosting,pred_LinearSVR,pred_DecisionTree,pred_BayesianRidge,pred_LSTM
0,2020-05-02,Qatar,30,756.3,625.7122559523808,652.8546757226372,310.2297584842412,509.7,452.8193787224026,183.94284057617188
1,2020-05-03,Qatar,30,773.1,623.6845658369407,637.0627487949694,228.34287380969153,509.7,390.36846748243875,190.3173065185547
2,2020-05-04,Qatar,30,778.7,605.317332142857,645.5214588446796,269.54770503227377,509.7,393.90228259866973,193.57553100585938
3,2020-05-05,Qatar,30,766.6,641.6293999999999,654.4084351596937,190.98919854682887,509.7,331.3149914029954,189.999267578125
4,2020-05-06,Qatar,30,778.4,653.9900119047619,654.7342288948312,163.15545111920986,509.7,301.56601153435395,188.5097198486328
5,2020-05-07,Qatar,30,768.5,656.2884690476192,691.814492710023,190.96935882171385,618.4,310.617416155769,189.49339294433594
6,2020-05-08,Qatar,30,764.6,623.7736178571427,667.5728636278567,216.35811619632236,509.7,320.22219722202624,190.0196533203125
7,2020-05-09,Qatar,30,828.0,627.4517011904761,680.2613338538116,265.9351667294038,711.6,346.9401710623099,198.26051330566406
8,2020-05-10,Qatar,30,876.7,621.5663559523808,647.6675067482391,327.49548794820953,509.7,382.96417894624756,192.05239868164062
9,2020-05-11,Qatar,30,911.1,616.9361511904762,669.5450783792601,424.1378729922866,711.6,441.19367373028217,184.3009490966797
10,2020-05-12,Qatar,30,952.7,621.2939297619046,684.0717822013473,464.8686326307293,658.1,474.480776010666,181.0625
11,2020-05-13,Qatar,30,1027.7,625.4491964285713,690.1529040323469,616.0097446887038,711.6,570.0682590367419,177.1885986328125
12,2020-05-14,Qatar,30,1098.8,633.2615867519735,704.2499546929848,562.1114806328122,711.6,560.1911603501597,154.32814025878906
13,2020-05-15,Qatar,30,1208.1,620.2441448412696,700.4676741211873,1096.303867404326,691.3,862.642201156334,191.1790008544922
14,2020-05-16,Qatar,30,1228.3,609.5879297619045,699.0729117121313,1406.3755296729842,691.3,1068.0623998549063,228.3192901611328
15,2020-05-17,Qatar,30,1300.0,611.2521853174602,695.7775918949155,1723.2352193122174,739.4,1278.7895479125052,228.92227172851562
16,2020-05-18,Qatar,30,1371.4,620.9184380952379,695.2756762173153,1952.7726400901745,691.3,1465.424359259963,224.402587890625
17,2020-05-19,Qatar,30,1376.8,574.3440222222221,617.8679390857661,2084.019735585089,564.7,1604.0208204728995,219.87432861328125
