,date,Country,Milestone,y_true,pred_RandomForest,pred_GradientBoosting,pred_LinearSVR,pred_DecisionTree,pred_BayesianRidge,pred_LSTM
19,2020-05-17,United_Kingdom,30,3059.2,4617.956968271986,4802.274402910907,-125840.6411114015,4847.2,14194.199677327544,3470.734375
20,2020-05-18,United_Kingdom,30,2884.4,4617.956968271986,4802.274402910907,-94018.41816724835,4847.2,14780.634523547777,3487.051025390625
21,2020-05-19,United_Kingdom,30,2691.5,4617.956968271986,4802.274402910907,-65707.03585926064,4847.2,15357.01332301158,3392.55029296875
22,2020-05-20,United_Kingdom,30,2644.1,4617.956968271986,4802.274402910907,-108572.09563230533,4847.2,15722.283005261259,3297.929443359375
23,2020-05-21,United_Kingdom,30,2733.6,4617.956968271986,4802.666049575329,-120280.59952352472,4847.2,15850.54173262695,3183.37158203125
24,2020-05-22,United_Kingdom,30,2772.5,4617.956968271986,4802.666049575329,-123546.83821728044,4847.2,15599.720580236704,2463.56640625
25,2020-05-23,United_Kingdom,30,2671.3,4617.956968271986,4802.666049575329,-165299.90294468848,4847.2,14909.375134024878,1863.4256591796875
26,2020-05-24,United_Kingdom,30,2537.3,4617.956968271986,4802.666049575329,-215722.59531424,4847.2,14253.717134875798,1849.369140625
27,2020-05-25,United_Kingdom,30,2359.3,4617.956968271986,4802.666049575329,-195314.39949166568,4847.2,14114.365168809172,1565.30224609375
28,2020-05-26,United_Kingdom,30,2232.9,4617.956968271986,4802.666049575329,-95035.90254340218,4847.2,14148.382984436916,1547.8917236328125
29,2020-05-27,United_Kingdom,30,2142.7,4617.956968271986,4802.666049575329,-83206.77547186901,4847.2,14674.787241910633,1458.4366455078125
30,2020-05-28,United_Kingdom,60,2102.0,2552.2305221259126,2227.529090949943,76654.23400584872,2232.9,2292.2519091262966,3963.2392578125
31,2020-05-29,United_Kingdom,60,2101.7,2561.007897125912,2256.481514394012,126542.5275494382,2232.9,2302.2735456254572,3963.24365234375
32,2020-05-30,United_Kingdom,60,2018.8,2571.7170048182206,2255.633697559181,161535.73472594353,2232.9,2287.283862756605,3963.2451171875
33,2020-05-31,United_Kingdom,60,1866.3,2569.001701246792,2256.9352570629553,195254.4500610939,2232.9,2236.9782949670935,3963.245849609375
34,2020-06-01,United_Kingdom,60,1707.0,2570.3484935544843,2257.9146538336427,238045.1843090893,2232.9,2177.964745919784,3963.247314453125
35,2020-06-02,United_Kingdom,60,1557.5,2549.472075697341,2265.675116055871,271414.6597782028,2142.7,2115.713819849906,3963.24560546875
36,2020-06-03,United_Kingdom,60,1495.4,2544.6300756973415,2253.7914181813003,289317.58032063575,2142.7,2089.378442195964,3963.240478515625
37,2020-06-04,United_Kingdom,60,1491.1,2549.472075697341,2251.8090677043,359711.0442661141,2232.9,2093.4566959250724,3963.2138671875
38,2020-06-05,United_Kingdom,60,1490.3,2549.472075697341,2240.212567100747,431528.48323945503,2232.9,2107.3084952639847,3962.98681640625
39,2020-06-06,United_Kingdom,60,1452.2,2565.8498971259123,2258.0023910334717,468091.52174069965,2232.9,2095.489376398831,3959.9833984375
40,2020-06-07,United_Kingdom,60,1397.0,2556.6859756973413,2257.9263819899465,493816.38873284165,2232.9,2061.427664811476,3935.65625
41,2020-06-08,United_Kingdom,60,1293.6,2556.6859756973413,2266.2806676816863,535487.6209222409,2232.9,2017.6779146521326,3843.543212890625
42,2020-06-09,United_Kingdom,60,1189.7,2544.6300756973415,2266.2806676816863,561898.0852501005,2232.9,1972.304280512818,3448.533447265625
43,2020-06-10,United_Kingdom,60,1146.9,2544.6300756973415,2188.5756873481296,549818.5550053765,2232.9,1967.3965816472423,2987.961669921875
44,2020-06-11,United_Kingdom,60,1150.2,2549.472075697341,2211.7474835425983,598344.3864477352,2232.9,1998.25302301609,2823.398681640625
45,2020-06-12,United_Kingdom,60,1162.2,2565.8498971259123,2242.0039717109835,627182.6288281904,2232.9,2039.4382655186637,2588.0654296875
46,2020-06-13,United_Kingdom,60,1119.8,2606.161690021253,2353.6141903635453,624074.8730144877,2232.9,2047.200389867603,1620.0225830078125
47,2020-06-14,United_Kingdom,60,1076.6,2635.6998015734775,2352.675041611875,623887.0070464242,2232.9,2025.8962815861005,1275.80029296875
48,2020-06-15,United_Kingdom,60,1030.0,2615.3148666451707,2256.112365373827,596280.9615082786,2232.9,1981.453572299099,367.9399719238281
49,2020-06-16,United_Kingdom,60,987.9,2564.3619699281103,2191.088734842477,572713.8656600763,2142.7,1943.8943631922957,384.0685729980469
50,2020-06-17,United_Kingdom,60,980.2,2544.6300756973415,2176.208456563511,533993.2756209654,2142.7,1949.5627148868612,365.1405944824219
51,2020-06-18,United_Kingdom,60,1010.3,2544.6300756973415,2148.7232413625557,551067.3193878857,2232.9,2007.8025459787882,474.7743835449219
52,2020-06-19,United_Kingdom,60,1039.5,2601.319690021253,2336.7044768558953,542780.4613100486,2232.9,2078.6317724927426,540.1543579101562
53,2020-06-20,United_Kingdom,60,1032.3,2647.2356230020496,2348.580802068303,550679.9942463678,2232.9,2130.760420078864,658.896240234375
54,2020-06-21,United_Kingdom,60,1015.1,2686.293640609442,2349.5316789762774,543268.474139267,2232.9,2156.511082845852,635.0814819335938
55,2020-06-22,United_Kingdom,60,963.9,2678.911261083086,2231.1475229998073,557063.9449030077,2232.9,2165.30339115104,470.5015563964844
56,2020-06-23,United_Kingdom,60,926.1,2644.2718689926487,2228.833948469443,579510.4992137502,2142.7,2171.418266287589,237.87164306640625
57,2020-06-24,United_Kingdom,60,910.5,2664.3410638979813,2321.5963650520116,579039.9719406175,2142.7,2217.1252717500693,134.4646453857422
58,2020-06-25,United_Kingdom,60,910.1,2731.258214132626,2463.8824032080347,633522.4583407212,2142.7,2298.319525526105,137.98529052734375
59,2020-06-26,United_Kingdom,60,905.7,2738.0096588014976,2361.524292337462,656987.1184342145,2142.7,2381.216708198456,111.71150207519531
60,2020-06-27,United_Kingdom,90,873.5,1160.2033456723254,1062.265383531231,38458.607553406815,910.5,1118.7467631565123,2076.828857421875
