,date,Country,Milestone,y_true,pred_RandomForest,pred_GradientBoosting,pred_LinearSVR,pred_DecisionTree,pred_BayesianRidge,pred_LSTM
0,2020-04-28,France,30,1651.8,1941.4001257936502,1671.8807129376048,-8764.849597334716,1572.8,1054.8487829657283,3361.82861328125
1,2020-04-29,France,30,1501.4,1941.4001257936502,1645.4862652303943,-387.7096674936684,1572.8,526.0736592867347,3361.828369140625
2,2020-04-30,France,30,1583.6,1941.4001257936502,1663.9934347305086,-2407.145804030136,1572.8,354.00814175860296,3361.829345703125
3,2020-05-01,France,30,1492.4,1941.4001257936502,1693.6948506528902,-8030.764840294926,1572.8,24.752055515351913,3361.828857421875
4,2020-05-02,France,30,1286.1,1948.0457924603168,1656.8330303084829,-15325.531736370074,1572.8,115.29483041121784,3361.830322265625
5,2020-05-03,France,30,1182.8,1948.0457924603168,1659.5521915636173,-5690.043773200726,1572.8,-1711.958765862863,3361.83642578125
6,2020-05-04,France,30,1048.3,1948.0457924603168,1708.6892658477009,-3011.2638402256116,1572.8,-1514.1062502147838,3361.829833984375
7,2020-05-05,France,30,928.6,1920.90622579365,1653.4793533989982,6668.055301773028,1572.8,-2307.112292158958,3361.8271484375
8,2020-05-06,France,30,885.3,1954.7424813492055,1624.615621901161,-1001.2090702219857,1572.8,-3262.873507345756,3361.815185546875
9,2020-05-07,France,30,1257.5,1948.0457924603168,1658.3895820940738,3346.1538600764115,1572.8,-3739.2977613815315,3361.79150390625
10,2020-05-08,France,30,1200.9,1948.0457924603168,1654.242899285788,-12111.256113714036,1572.8,-4824.605977620833,3361.708984375
11,2020-05-09,France,30,1158.6,1948.0457924603168,1655.1456419497958,-26503.94654737002,1572.8,-3802.205875575029,3361.623291015625
12,2020-05-10,France,30,1041.2,1948.0457924603168,1655.1456419497958,-7926.331362089396,1572.8,-4855.659839105778,3361.261474609375
13,2020-05-11,France,30,948.2,1948.0457924603168,1655.0184196755924,-1085.6777226087934,1572.8,-7062.571943700448,3345.6640625
14,2020-05-12,France,30,933.4,1948.0457924603168,1656.6628348041754,18107.848196820058,1572.8,-6920.407221085927,3224.76708984375
15,2020-05-13,France,30,924.8,1948.0457924603168,1710.5023786990548,-42789.03832340498,1572.8,-5173.523802500424,3283.757568359375
16,2020-05-14,France,30,944.7,1920.90622579365,1654.3032560948702,22425.216920957944,1572.8,-5858.21510635746,3053.0732421875
17,2020-05-15,France,30,949.3,1954.7424813492055,1629.7373543270453,-27372.161792524937,1572.8,-4996.241320166106,2195.299072265625
18,2020-05-16,France,30,895.2,1954.7424813492055,1627.6183148651523,-90540.91001938867,1572.8,-2631.931814802953,1298.65673828125
19,2020-05-17,France,30,514.1,1954.7424813492055,1635.4742147841132,-28082.833152544932,1572.8,-3173.359593084873,1141.4747314453125
20,2020-05-18,France,30,463.2,1954.7424813492055,1631.878717821148,32847.34821511836,1572.8,-2784.232650886947,358.9353332519531
21,2020-05-19,France,30,448.2,1954.7424813492055,1631.878717821148,110659.71396562508,1572.8,-1950.4180486054433,141.91363525390625
22,2020-05-20,France,30,457.3,1954.7424813492055,1670.366347655201,69112.22887016098,1572.8,-2687.3793939272514,589.3291015625
23,2020-05-21,France,30,478.2,1954.7424813492055,1672.725926364506,76469.04686119941,1572.8,-4107.485919590377,352.4660949707031
24,2020-05-22,France,30,464.4,1954.7424813492055,1728.9250489686897,254523.89635856636,1572.8,-2770.5463077129593,165.50445556640625
25,2020-05-23,France,30,433.9,1927.6029146825388,1728.9250489686897,277279.9339234819,1572.8,-1060.0139587083672,304.3680725097656
26,2020-05-24,France,30,407.2,1927.6029146825388,1704.3591472008648,102941.90945306148,1572.8,-1380.8889190443192,396.1963195800781
27,2020-05-25,France,30,356.5,1927.6029146825388,1694.961105804627,215541.81709910047,1572.8,-2603.4783857627904,264.5294494628906
28,2020-05-26,France,30,336.0,1927.6029146825388,1694.961105804627,375227.69281450176,1572.8,-1210.8484499434394,187.93592834472656
29,2020-05-27,France,30,326.4,1927.6029146825388,1694.961105804627,373684.3543333848,1572.8,-1300.1671900251326,136.66087341308594
30,2020-05-28,France,60,333.5,743.447847600137,428.71619184399344,65503.512388288895,356.5,1032.7886436838435,1441.542236328125
31,2020-05-29,France,60,616.8,682.3909516171003,346.7786857168138,36810.07924685258,356.5,1104.3512900642986,1441.10693359375
32,2020-05-30,France,60,624.1,841.2065443895999,685.5045222083282,51682.48088262247,356.5,1292.6236568060842,1440.65771484375
33,2020-05-31,France,60,765.1,794.7807076091478,500.7578695182566,149159.6780570858,356.5,1110.0119648699242,1439.6270751953125
34,2020-06-01,France,60,759.0,710.3124508011465,551.8088878698114,166039.4472581003,2627.2,991.6571189358274,1437.4847412109375
35,2020-06-02,France,60,752.5,809.9034436742804,630.5110875144642,157514.0288634433,356.5,1099.9812060153076,1433.0888671875
36,2020-06-03,France,60,651.9,660.7521871444832,351.74767274613953,105649.99742639638,356.5,1136.5239870259043,1420.022705078125
37,2020-06-04,France,60,675.6,809.3548740512792,900.46098352547,53513.399452037826,356.5,1213.9041255359298,1386.467529296875
38,2020-06-05,France,60,716.5,670.1510168790759,370.35457022868275,20512.646820396618,356.5,1275.7937494384087,1253.9080810546875
39,2020-06-06,France,60,750.0,770.6487924909555,659.5990900729678,-29591.47687042226,356.5,1384.1047700476327,1074.4918212890625
40,2020-06-07,France,60,788.8,725.3335470269456,348.67266404848715,-82890.15396483222,356.5,1386.4302060337525,607.4617309570312
41,2020-06-08,France,60,490.6,790.0334374201738,319.87791512505476,-100170.99223725256,356.5,1534.8544811861855,353.9947204589844
