,date,Country,Milestone,y_true,pred_HT_Reg,pred_HAT_Reg,pred_ARF_Reg,pred_PA_Reg
0,2020-04-28,Germany,30,1889.8,2043.6919928611912,1997.63246431396,1869.8439263835676,1889.8771781547346
1,2020-04-29,Germany,30,1774.4,1382.014395780071,602.87377824862,769.0757683042775,313772.7982719471
2,2020-04-30,Germany,30,1744.7,163.05951170420167,437.0376100041635,-36.326122724501374,295625.21889726986
3,2020-05-01,Germany,30,1730.1,-28.460139052840987,-849.9297734164452,-615.2515184039378,108031.14278962571
4,2020-05-02,Germany,30,1600.9,-2356.6910853644717,-17.880131227087077,-123.8281974946533,115508.58687148945
5,2020-05-03,Germany,30,1445.0,-2028.5831405064541,-3846.4691878428935,-1016.60494453207,55546.95548043501
6,2020-05-04,Germany,30,1279.2,-4123.877448883259,-2064.2761244335757,-272.3304510473604,-211659.80105617692
7,2020-05-05,Germany,30,1142.2,-5184.333171050803,-3833.3372601194255,-1290.8672480349676,-161000.08090641766
8,2020-05-06,Germany,30,1063.2,-5344.323151710512,-9180.83895340753,-3049.12971771775,-6545.98211758564
9,2020-05-07,Germany,30,1089.8,-8633.56192427237,-10054.788873640791,-3125.1687317172136,-63657.749486718945
10,2020-05-08,Germany,30,1096.3,-11163.970703527451,-5275.054618981903,-3440.0457545368968,-207289.02140604638
11,2020-05-09,Germany,30,1091.0,-11672.415302147267,-10242.217431037185,-1778.5437693231431,-254744.09402881868
12,2020-05-10,Germany,30,1009.9,-10610.983805899617,-9642.404987211286,9490.447398135984,-297426.607670207
13,2020-05-11,Germany,30,881.7,-18945.713922687213,-4922.6359409508,11814.332369766298,-378895.32541776396
14,2020-05-12,Germany,30,880.5,-14804.125296199894,-18012.354033602653,12572.569157406906,-288046.4534437956
15,2020-05-13,Germany,30,881.0,-7097.982804615462,-8049.542054977459,25340.98544051001,-239618.65732646667
16,2020-05-14,Germany,30,906.4,-20861.136863252636,-2184.6574853151155,29654.076994695897,-224117.50104283183
17,2020-05-15,Germany,30,929.2,-21848.90537282877,-14983.08184268704,35489.114659444625,-242839.55411556867
18,2020-05-16,Germany,30,896.5,-12547.331371802356,6808.27526225607,59840.70478620101,-399266.167345339
19,2020-05-17,Germany,30,826.4,-27995.25897722911,3716.060817497604,73308.43048243964,-480844.73676840734
20,2020-05-18,Germany,30,739.7,-20107.46636548351,32998.58467764736,91188.21233738503,-433445.51758959494
21,2020-05-19,Germany,30,665.9,-9840.697531871429,51658.00171911836,113212.68198145439,-336703.5056675807
22,2020-05-20,Germany,30,678.9,32122.780882596402,2640.3870614999855,198139.6192886313,-173082.2092228
23,2020-05-21,Germany,30,717.7,-57309.85941958163,118888.18743121186,208810.7147058877,-130491.42161089784
24,2020-05-22,Germany,30,670.4,12532.239814121644,51503.100935248425,179833.22816396662,-156460.81483553737
25,2020-05-23,Germany,30,654.4,-41432.35878638031,232705.02088923368,294716.4489976058,-145611.87983913196
26,2020-05-24,Germany,30,604.2,-35780.993276765694,140981.43545240426,328988.3599828531,-136665.72635389093
27,2020-05-25,Germany,30,541.8,-45577.97986572739,151130.27057051894,374871.34767697623,-64988.92255572798
28,2020-05-26,Germany,30,523.0,5257.1526069339525,275611.7902466402,423700.4538099282,116535.0846665091
29,2020-05-27,Germany,30,500.9,12586.164719890792,296089.8736167861,477713.56946428027,298083.9809652298
30,2020-05-28,Germany,60,502.0,737.9279933983171,457.58960321734,10737.180585280443,502.09854540375255
31,2020-05-29,Germany,60,524.8,-393.66161618322076,-152.51025202877372,12567.326533961743,130532.62517327945
32,2020-05-30,Germany,60,518.9,-1658.5350237580724,-1024.879571404913,14215.210681937857,178831.83652153917
33,2020-05-31,Germany,60,473.0,-2538.040863199163,-1805.6783590589102,16615.17563668131,205917.71477867095
34,2020-06-01,Germany,60,460.3,-3162.3384734193587,-2527.0953345807966,19004.704687728707,251692.25508997362
35,2020-06-02,Germany,60,417.8,-4749.7593147465195,-3287.065541397925,21866.23990840448,290037.5042802098
36,2020-06-03,Germany,60,408.9,-6351.73430892518,-5001.551444731768,26983.78642776249,352804.1046234689
37,2020-06-04,Germany,60,419.4,-10211.690646287232,-8360.23437743647,32564.07719691338,428180.226180528
38,2020-06-05,Germany,60,426.9,-14956.600710115483,-12758.292199628311,36291.195625105334,469733.74290770927
39,2020-06-06,Germany,60,431.4,-20089.54877607054,-19890.538161242865,42131.34150811155,435439.69239036925
40,2020-06-07,Germany,60,426.2,-27564.746779193727,-22609.999891829935,51796.914523803505,400878.636102802
41,2020-06-08,Germany,60,373.5,-32269.377501812134,-24097.01304638737,55883.51623669767,370980.75452738913
42,2020-06-09,Germany,60,334.7,-35049.82910606213,-30596.70536826737,68913.36198163181,383494.65036092314
43,2020-06-10,Germany,60,337.9,-44582.84937977261,-36432.847027251606,83598.1346036501,426143.9179511909
44,2020-06-11,Germany,60,360.1,-53978.458427086145,-42990.20359963629,100715.01556284507,433303.76193093735
45,2020-06-12,Germany,60,364.6,-74588.87611026363,-55397.746016326724,121336.23908313428,449851.53891829995
