,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.009,0.015,0.426,0.001
1,60,0.022,0.036,0.914,0.002
2,90,0.033,0.056,1.5,0.002
3,120,0.057,0.198,2.062,0.002
4,150,0.079,0.112,2.792,0.001
5,180,0.095,0.134,3.151,0.001
6,210,0.114,0.171,4.89,0.001
7,240,0.128,0.192,4.492,0.001
