,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.01,0.016,0.437,0.001
1,60,0.023,0.036,0.961,0.002
2,90,0.034,0.056,1.5,0.002
3,120,0.075,0.107,2.065,0.002
4,150,0.087,0.127,2.75,0.002
5,180,0.109,0.152,2.962,0.001
6,210,0.146,0.185,3.481,0.002
7,240,0.298,0.236,4.814,0.001
