,PretrainDays,RandomForest,GradientBoosting,LinearSVR,DecisionTree,BayesianRidge,LSTM
0,30,0.104,0.028,0.001,0.001,0.004,5.886
1,60,0.128,0.059,0.007,0.003,0.011,12.224
2,90,0.124,0.08,0.013,0.003,0.032,11.962
3,120,0.141,0.108,0.014,0.003,0.004,11.549
4,150,0.141,0.143,0.018,0.004,0.003,11.934
5,180,0.161,0.174,0.026,0.006,0.005,9.118
6,210,0.169,0.2,0.027,0.006,0.012,11.569
7,240,0.189,0.24,0.031,0.007,0.024,13.469
