,PretrainDays,RandomForest,GradientBoosting,LinearSVR,DecisionTree,BayesianRidge,LSTM
0,30,0.097,0.024,0.001,0.001,0.002,8.407
1,60,0.12,0.046,0.004,0.003,0.005,13.372
2,90,0.129,0.082,0.011,0.003,0.01,16.351
3,120,0.135,0.104,0.014,0.003,0.004,6.725
4,150,0.149,0.14,0.018,0.004,0.01,7.348
5,180,0.156,0.172,0.026,0.006,0.017,7.721
6,210,0.17,0.206,0.027,0.006,0.004,7.923
7,240,0.2,0.243,0.034,0.008,0.013,9.201
