,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.01,0.015,0.424,0.001
1,60,0.023,0.039,0.943,0.002
2,90,0.038,0.061,1.561,0.002
3,120,0.085,0.127,2.742,0.002
4,150,0.135,0.166,4.459,0.001
5,180,0.194,0.237,5.738,0.001
6,210,0.238,0.287,7.053,0.001
7,240,0.267,0.325,8.179,0.002
