,PretrainDays,RandomForest,GradientBoosting,LinearSVR,DecisionTree,BayesianRidge,LSTM
0,30,0.105,0.027,0.002,0.002,0.003,4.913
1,60,0.118,0.056,0.005,0.002,0.003,5.143
2,90,0.123,0.087,0.009,0.003,0.009,5.852
3,120,0.133,0.118,0.014,0.004,0.01,22.524
4,150,0.163,0.139,0.016,0.006,0.004,18.432
5,180,0.18,0.166,0.02,0.005,0.004,21.33
6,210,0.18,0.207,0.029,0.007,0.019,9.319
7,240,0.204,0.24,0.033,0.009,0.013,30.713
