,PretrainDays,RandomForest,GradientBoosting,LinearSVR,DecisionTree,BayesianRidge,LSTM
0,30,0.117,0.029,0.002,0.001,0.003,7.445
1,60,0.124,0.044,0.005,0.002,0.005,12.888
2,90,0.122,0.075,0.009,0.003,0.01,14.651
3,120,0.134,0.101,0.013,0.003,0.004,22.722
4,150,0.159,0.158,0.017,0.004,0.003,7.435
5,180,0.166,0.162,0.022,0.005,0.01,8.343
6,210,0.167,0.193,0.034,0.009,0.014,9.44
7,240,0.189,0.219,0.028,0.007,0.018,8.532
