,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.011,0.016,0.458,0.001
1,60,0.022,0.038,0.958,0.002
2,90,0.039,0.066,1.57,0.002
3,120,0.195,0.115,3.034,0.001
4,150,0.123,0.158,4.166,0.001
5,180,0.17,0.216,3.773,0.001
6,210,0.252,0.285,3.873,0.001
7,240,0.307,0.357,5.004,0.002
