,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.011,0.017,0.474,0.002
1,60,0.022,0.037,0.976,0.002
2,90,0.044,0.067,1.549,0.002
3,120,0.097,0.128,2.832,0.001
4,150,0.141,0.174,4.522,0.001
5,180,0.185,0.343,3.548,0.001
6,210,0.22,0.273,3.958,0.001
7,240,0.267,0.319,5.136,0.001
