,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.011,0.017,0.459,0.002
1,60,0.026,0.045,1.095,0.002
2,90,0.04,0.064,1.532,0.002
3,120,0.093,0.128,2.414,0.001
4,150,0.138,0.168,3.803,0.001
5,180,0.19,0.228,3.487,0.002
6,210,0.339,0.278,4.022,0.001
7,240,0.248,0.301,4.996,0.001
