,PretrainDays,RandomForest,GradientBoosting,LinearSVR,DecisionTree,BayesianRidge,LSTM
0,30,0.108,0.035,0.004,0.002,0.003,8.476
1,60,0.11,0.049,0.006,0.002,0.003,8.15
2,90,0.131,0.092,0.014,0.004,0.01,18.008
3,120,0.154,0.132,0.015,0.004,0.006,13.316
4,150,0.151,0.14,0.023,0.005,0.01,8.989
5,180,0.171,0.17,0.022,0.006,0.005,23.49
6,210,0.206,0.214,0.027,0.007,0.046,14.871
7,240,0.222,0.258,0.032,0.008,0.008,12.557
