,PretrainDays,RandomForest,GradientBoosting,LinearSVR,DecisionTree,BayesianRidge,LSTM
0,30,0.101,0.026,0.001,0.001,0.002,6.271
1,60,0.112,0.049,0.005,0.002,0.011,5.633
2,90,0.124,0.082,0.01,0.003,0.003,5.81
3,120,0.136,0.112,0.014,0.003,0.003,6.531
4,150,0.151,0.143,0.018,0.004,0.003,7.311
5,180,0.162,0.172,0.022,0.005,0.011,31.837
6,210,0.177,0.216,0.028,0.006,0.012,30.835
7,240,0.179,0.216,0.029,0.007,0.005,8.699
