,PretrainDays,RandomForest,GradientBoosting,LinearSVR,DecisionTree,BayesianRidge,LSTM
0,30,0.105,0.037,0.002,0.002,0.003,9.178
1,60,0.107,0.046,0.005,0.002,0.003,13.593
2,90,0.126,0.074,0.01,0.003,0.003,9.936
3,120,0.14,0.138,0.019,0.005,0.004,10.372
4,150,0.148,0.168,0.019,0.004,0.003,7.58
5,180,0.181,0.182,0.026,0.006,0.009,7.658
6,210,0.184,0.207,0.036,0.008,0.01,9.363
7,240,0.181,0.242,0.032,0.007,0.018,11.824
