,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.009,0.016,0.459,0.002
1,60,0.023,0.036,0.924,0.002
2,90,0.038,0.059,1.533,0.002
3,120,0.076,0.107,2.175,0.001
4,150,0.215,0.138,3.619,0.001
5,180,0.129,0.174,4.996,0.001
6,210,0.169,0.221,5.638,0.001
7,240,0.237,0.281,6.35,0.001
