,PretrainDays,RandomForest,GradientBoosting,LinearSVR,DecisionTree,BayesianRidge,LSTM
0,30,0.109,0.033,0.002,0.002,0.004,5.885
1,60,0.112,0.062,0.006,0.002,0.009,5.632
2,90,0.132,0.087,0.01,0.003,0.003,5.985
3,120,0.16,0.129,0.014,0.004,0.004,22.48
4,150,0.2,0.144,0.018,0.004,0.004,8.184
5,180,0.164,0.169,0.029,0.011,0.015,7.392
6,210,0.195,0.226,0.027,0.006,0.009,8.055
7,240,0.214,0.243,0.032,0.008,0.015,8.22
