,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.011,0.017,0.518,0.001
1,60,0.024,0.038,0.993,0.002
2,90,0.038,0.062,1.552,0.002
3,120,0.092,0.238,1.952,0.001
4,150,0.133,0.179,3.918,0.001
5,180,0.176,0.217,5.466,0.002
6,210,0.224,0.26,6.277,0.001
7,240,0.252,0.291,7.676,0.001
