,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.01,0.017,0.421,0.001
1,60,0.021,0.038,0.921,0.002
2,90,0.039,0.058,1.578,0.002
3,120,0.077,0.107,2.265,0.001
4,150,0.126,0.16,2.52,0.001
5,180,0.178,0.232,3.287,0.001
6,210,0.223,0.272,3.428,0.001
7,240,0.251,0.299,4.103,0.002
