,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.011,0.019,0.472,0.002
1,60,0.024,0.039,0.998,0.002
2,90,0.042,0.066,1.571,0.002
3,120,0.096,0.124,2.371,0.001
4,150,0.134,0.169,4.6,0.001
5,180,0.173,0.211,4.358,0.001
6,210,0.176,0.221,3.486,0.002
7,240,0.201,0.249,6.617,0.001
