,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.012,0.019,0.478,0.002
1,60,0.023,0.039,1.011,0.002
2,90,0.044,0.068,1.618,0.002
3,120,0.094,0.125,2.594,0.001
4,150,0.135,0.275,4.402,0.001
5,180,0.198,0.249,3.681,0.001
6,210,0.253,0.296,3.652,0.003
7,240,0.305,0.332,5.226,0.001
