,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.009,0.015,0.399,0.002
1,60,0.022,0.036,0.941,0.002
2,90,0.036,0.057,1.477,0.001
3,120,0.074,0.104,2.475,0.002
4,150,0.099,0.137,3.65,0.002
5,180,0.115,0.166,4.697,0.001
6,210,0.122,0.179,5.839,0.001
7,240,0.133,0.191,6.39,0.001
