,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.01,0.016,0.462,0.002
1,60,0.022,0.035,0.99,0.001
2,90,0.031,0.055,1.549,0.002
3,120,0.056,0.085,2.019,0.001
4,150,0.077,0.102,2.56,0.001
5,180,0.18,0.123,3.71,0.001
6,210,0.089,0.145,3.963,0.002
7,240,0.111,0.183,4.095,0.001
