,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.01,0.016,0.485,0.002
1,60,0.023,0.039,1.022,0.002
2,90,0.15,0.064,1.551,0.002
3,120,0.091,0.124,2.403,0.001
4,150,0.127,0.164,4.459,0.001
5,180,0.186,0.224,3.54,0.001
6,210,0.17,0.232,5.329,0.001
7,240,0.234,0.336,4.637,0.001
