,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.011,0.019,0.449,0.001
1,60,0.024,0.038,1.043,0.003
2,90,0.043,0.064,1.601,0.002
3,120,0.09,0.126,2.246,0.002
4,150,0.131,0.167,4.59,0.001
5,180,0.174,0.217,5.871,0.001
6,210,0.21,0.254,5.955,0.001
7,240,0.251,0.312,6.644,0.001
