,PretrainDays,RandomForest,GradientBoosting,LinearSVR,DecisionTree,BayesianRidge,LSTM
0,30,0.11,0.035,0.003,0.002,0.003,5.435
1,60,0.115,0.055,0.005,0.002,0.002,5.385
2,90,0.133,0.087,0.009,0.003,0.003,6.322
3,120,0.158,0.127,0.016,0.006,0.004,9.448
4,150,0.158,0.149,0.018,0.005,0.003,6.859
5,180,0.169,0.194,0.022,0.006,0.004,18.401
6,210,0.181,0.221,0.024,0.007,0.004,35.795
7,240,0.197,0.23,0.03,0.008,0.005,8.929
