,PretrainDays,RandomForest,GradientBoosting,LinearSVR,DecisionTree,BayesianRidge,LSTM
0,30,0.138,0.038,0.004,0.002,0.002,5.976
1,60,0.127,0.053,0.008,0.003,0.005,13.051
2,90,0.135,0.079,0.01,0.003,0.007,14.127
3,120,0.14,0.112,0.014,0.003,0.003,10.007
4,150,0.16,0.142,0.024,0.006,0.003,19.03
5,180,0.172,0.182,0.022,0.005,0.006,19.744
6,210,0.205,0.22,0.028,0.007,0.027,8.423
7,240,0.206,0.238,0.03,0.007,0.005,11.66
