,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.01,0.017,0.443,0.001
1,60,0.022,0.035,1.034,0.002
2,90,0.041,0.063,1.655,0.002
3,120,0.084,0.121,2.555,0.001
4,150,0.112,0.159,4.105,0.001
5,180,0.26,0.198,3.676,0.001
6,210,0.195,0.243,4.177,0.001
7,240,0.238,0.293,4.342,0.001
