,PretrainDays,RandomForest,GradientBoosting,LinearSVR,DecisionTree,BayesianRidge,LSTM
0,30,0.113,0.038,0.002,0.001,0.002,5.499
1,60,0.113,0.054,0.006,0.002,0.003,4.63
2,90,0.15,0.087,0.01,0.003,0.003,6.616
3,120,0.16,0.124,0.015,0.004,0.003,9.5
4,150,0.174,0.158,0.019,0.004,0.003,16.56
5,180,0.177,0.19,0.023,0.006,0.01,20.327
6,210,0.187,0.215,0.029,0.006,0.015,13.187
7,240,0.214,0.247,0.031,0.007,0.005,8.683
