,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.012,0.019,0.519,0.002
1,60,0.025,0.04,0.99,0.001
2,90,0.042,0.065,1.56,0.002
3,120,0.088,0.127,2.737,0.001
4,150,0.266,0.189,4.503,0.001
5,180,0.215,0.245,4.018,0.001
6,210,0.25,0.289,4.513,0.001
7,240,0.295,0.346,4.798,0.001
