,PretrainDays,HT_Reg,HAT_Reg,ARF_Reg,PA_Reg
0,30,0.01,0.016,0.405,0.002
1,60,0.023,0.039,0.945,0.002
2,90,0.037,0.06,1.515,0.002
3,120,0.072,0.097,2.763,0.002
4,150,0.092,0.131,3.832,0.001
5,180,0.119,0.163,4.479,0.001
6,210,0.124,0.168,5.339,0.001
7,240,0.144,0.2,6.696,0.002
