,0,1,mean
EvaluationMeasurement,RMSE,RMSE,
PretrainDays,30.0,240.0,135.0
RandomForest,4744.386,88451.651,46598.019
GradientBoosting,4609.011,50141.566,27375.289
LinearSVR,1271101.407,87879.432,679490.419
DecisionTree,5284.493,61221.658,33253.076
BayesianRidge,113821.065,103099.723,108460.394
LSTM,25261.177,167484.991,96373.084
