,0,1,mean
EvaluationMeasurement,MAPE,MAPE,
PretrainDays,30.0,240.0,135.0
RandomForest,0.174,0.517,0.345
GradientBoosting,0.165,0.286,0.225
LinearSVR,42.843,0.468,21.655
DecisionTree,0.193,0.263,0.228
BayesianRidge,4.188,0.606,2.397
LSTM,0.999,0.985,0.992
