,0,1,mean
EvaluationMeasurement,MAE,MAE,
PretrainDays,30.0,240.0,135.0
RandomForest,2219.274,4579.049,3399.161
GradientBoosting,2119.419,1324.002,1721.711
LinearSVR,49018.601,204732.941,126875.771
DecisionTree,2133.47,2295.3,2214.385
BayesianRidge,30825.818,76439.681,53632.749
LSTM,3549.641,41476.157,22512.899
