,MAE,MAPE,RMSE,Time(sec)
HT_Reg,4892.321,27.284,18075.028,4.589
HAT_Reg,4891.071,27.239,18074.166,13.644
ARF_Reg,4257.957,10.16,16397.503,83.059
PA_Reg,22228.573,40.864,83660.807,0.502
